index;2sents_before_after;1sent_before_after;ctx_before2;ctx_before2_speaker;ctx_before1;ctx_before1_speaker;question;question_speaker;ctx_after1;ctx_after1_speaker;ctx_after2;ctx_after2_speaker;label
1064;Thats a real hard thing for the average person to say no to. So yes. Have you ever made that offer? No. No, I havent.;So yes. Have you ever made that offer? No.;Thats a real hard thing for the average person to say no to.;DEBORAH NORVILLE;So yes.;DEBORAH NORVILLE;Have you ever made that offer?;HOWARD KURTZ;No.;DEBORAH NORVILLE;No, I havent.;DEBORAH NORVILLE;Deliberative
1065;The White House denounces -Forbes- magazine for saying that President Obama -got his anti-colonial views from his Kenyan father.- And Newt Gingrich talks about the theory. Is this fringe journalism? From breathless coverage of a kooky pastor here to the phone- hacking tabloid crooks in Britain, are the media sinking into an ethical swamp? A conversation with The Daily Beasts Tina Brown. Plus, a New York Jets reporter gets cat calls in the locker room, and some commentators are blaming her for dressing too provocatively.;Is this fringe journalism? From breathless coverage of a kooky pastor here to the phone- hacking tabloid crooks in Britain, are the media sinking into an ethical swamp? A conversation with The Daily Beasts Tina Brown.;The White House denounces -Forbes- magazine for saying that President Obama -got his anti-colonial views from his Kenyan father.- And Newt Gingrich talks about the theory.;HOWARD KURTZ;Is this fringe journalism?;HOWARD KURTZ;From breathless coverage of a kooky pastor here to the phone- hacking tabloid crooks in Britain, are the media sinking into an ethical swamp?;HOWARD KURTZ;A conversation with The Daily Beasts Tina Brown.;HOWARD KURTZ;Plus, a New York Jets reporter gets cat calls in the locker room, and some commentators are blaming her for dressing too provocatively.;HOWARD KURTZ;OTHERS
1066;But Howie, its great that were sitting here, that every week after week youre turning a critical lens on the media. But how many times are we going to sit here and fall for balloon boy and go after this guy? Why arent we challenging the heads of networks and the heads of the cable divisions to say, all right, I want to find out who exactly made that decision to put that person on the air, and why did you to it? Did you do it because somebody at MSNBC had it and you had to beat them? Did you do it because you thought, oh, my gosh, ratings?;But how many times are we going to sit here and fall for balloon boy and go after this guy? Why arent we challenging the heads of networks and the heads of the cable divisions to say, all right, I want to find out who exactly made that decision to put that person on the air, and why did you to it? Did you do it because somebody at MSNBC had it and you had to beat them?;But Howie, its great that were sitting here, that every week after week youre turning a critical lens on the media.;LAUREN ASHBURN;But how many times are we going to sit here and fall for balloon boy and go after this guy?;LAUREN ASHBURN;Why arent we challenging the heads of networks and the heads of the cable divisions to say, all right, I want to find out who exactly made that decision to put that person on the air, and why did you to it?;LAUREN ASHBURN;Did you do it because somebody at MSNBC had it and you had to beat them?;LAUREN ASHBURN;Did you do it because you thought, oh, my gosh, ratings?;LAUREN ASHBURN;Deliberative
1067;And you see headlines everywhere about the absolute devastation this is having in local communities and people suffering everywhere. And... Devastation, jell? Yes, devastation, economic devastation, of course... Give some examples, jell.;And... Devastation, jell? Yes, devastation, economic devastation, of course...;And you see headlines everywhere about the absolute devastation this is having in local communities and people suffering everywhere.;MARGARET CLIFT;And...;MARGARET CLIFT;Devastation, jell?;JOE CONCHA;Yes, devastation, economic devastation, of course...;MARGARET CLIFT;Give some examples, jell.;FRANK SESNO;Deliberative
1068;But we are out of time. Kimberly Dozier, Julie Mason, Terence Smith, thanks very much for joining us. After the break, has Twitter suddenly become scary? ESPN sends the staff a detailed warn about tweeting, while some pro-football team takes the ball out of their players hands. What are they afraid of?;Kimberly Dozier, Julie Mason, Terence Smith, thanks very much for joining us. After the break, has Twitter suddenly become scary? ESPN sends the staff a detailed warn about tweeting, while some pro-football team takes the ball out of their players hands.;But we are out of time.;HOWARD KURTZ;Kimberly Dozier, Julie Mason, Terence Smith, thanks very much for joining us.;HOWARD KURTZ;After the break, has Twitter suddenly become scary?;HOWARD KURTZ;ESPN sends the staff a detailed warn about tweeting, while some pro-football team takes the ball out of their players hands.;HOWARD KURTZ;What are they afraid of?;HOWARD KURTZ;Rhetorical
1069;"So, who got the coverage right? Who went overboard? And why was the mainstream media so late to the party? Joining us now, Amanda Carpenter, writes the -Hot Button- column for -The Washington Times-; Ana Marie Cox, national correspondent for Air America Radio; and Frank Sesno, professor of media and public affairs at The George Washington University and managing editor of the -Planet Forward,- which well talk about later in the program. Amanda Carpenter, is there any doubt that Fox pushed and promoted these parties, and deployed some of its hosts as star attractions?";"Who went overboard? And why was the mainstream media so late to the party? Joining us now, Amanda Carpenter, writes the -Hot Button- column for -The Washington Times-; Ana Marie Cox, national correspondent for Air America Radio; and Frank Sesno, professor of media and public affairs at The George Washington University and managing editor of the -Planet Forward,- which well talk about later in the program.";So, who got the coverage right?;HOWARD KURTZ;Who went overboard?;HOWARD KURTZ;And why was the mainstream media so late to the party?;HOWARD KURTZ;"Joining us now, Amanda Carpenter, writes the -Hot Button- column for -The Washington Times-; Ana Marie Cox, national correspondent for Air America Radio; and Frank Sesno, professor of media and public affairs at The George Washington University and managing editor of the -Planet Forward,- which well talk about later in the program.";HOWARD KURTZ;Amanda Carpenter, is there any doubt that Fox pushed and promoted these parties, and deployed some of its hosts as star attractions?;HOWARD KURTZ;Rhetorical
1070;Theres a lot of people out there, now that theyre taking your cattle, that are fearful that this is another Waco situation. Ruby Ridge has come up in some articles. What do you mean by range war? How far are you willing to take this? And again a week later, after the government surrendered -- thats Hannitys word -- Hannity kept bringing up worst-case scenarios about what might happen to Bundy in the future.;Ruby Ridge has come up in some articles. What do you mean by range war? How far are you willing to take this?;Theres a lot of people out there, now that theyre taking your cattle, that are fearful that this is another Waco situation.;SEAN HANNITY;Ruby Ridge has come up in some articles.;SEAN HANNITY;What do you mean by range war?;SEAN HANNITY;How far are you willing to take this?;SEAN HANNITY;And again a week later, after the government surrendered -- thats Hannitys word -- Hannity kept bringing up worst-case scenarios about what might happen to Bundy in the future.;BRIAN STELTER;Deliberative
1071;And yet, it got 20 seconds on a couple of evening newscasts. It was kind of an item in a lot of newspapers. Why wasnt it a bigger story? Im not sure why. It was an interesting gaffe.;It was kind of an item in a lot of newspapers. Why wasnt it a bigger story? Im not sure why.;And yet, it got 20 seconds on a couple of evening newscasts.;KURTZ, HOST (voice-over);It was kind of an item in a lot of newspapers.;KURTZ, HOST (voice-over);Why wasnt it a bigger story?;KURTZ, HOST (voice-over);Im not sure why.;JULIE MASON;It was an interesting gaffe.;JULIE MASON;Deliberative
1072;And I -- you know, if you talk to lawyers and doctors, and when they see television shows or movies about lawyers and doctors, they object to it the same way that journalists are going to object to the way theyre portrayed in movies. I have heard about that. Steve Lopez, this film, which, of course, is based on you and your experience with Nathaniel Ayers, did it seem to you to stick pretty closely to the facts? Or were there -- is there invented dialogue and scenes that never happened? No, its very true to the facts.;I have heard about that. Steve Lopez, this film, which, of course, is based on you and your experience with Nathaniel Ayers, did it seem to you to stick pretty closely to the facts? Or were there -- is there invented dialogue and scenes that never happened?;And I -- you know, if you talk to lawyers and doctors, and when they see television shows or movies about lawyers and doctors, they object to it the same way that journalists are going to object to the way theyre portrayed in movies.;KURTZ;I have heard about that.;KURTZ;Steve Lopez, this film, which, of course, is based on you and your experience with Nathaniel Ayers, did it seem to you to stick pretty closely to the facts?;KURTZ;Or were there -- is there invented dialogue and scenes that never happened?;KURTZ;No, its very true to the facts.;STEVE LOPEZ;Deliberative
1073;Sharon, you know, whether its the runaway bride or runaway balloon, I think a lot of people have figured out that the bar is pretty low for getting something on the air. And now of course after we found out that there has never been a 6-year-old boy in that helium balloon, everybody was chasing the wacky family, Richard Heene became Americas villain. So we just kind of moved on to the next step, didnt we? Yes. I think there is two culprits here that really occurred to me as I note that we continue to talk about this story a week after its happened.;And now of course after we found out that there has never been a 6-year-old boy in that helium balloon, everybody was chasing the wacky family, Richard Heene became Americas villain. So we just kind of moved on to the next step, didnt we? Yes.;Sharon, you know, whether its the runaway bride or runaway balloon, I think a lot of people have figured out that the bar is pretty low for getting something on the air.;HOWARD KURTZ;And now of course after we found out that there has never been a 6-year-old boy in that helium balloon, everybody was chasing the wacky family, Richard Heene became Americas villain.;HOWARD KURTZ;So we just kind of moved on to the next step, didnt we?;HOWARD KURTZ;Yes.;SHARON WAXMAN;I think there is two culprits here that really occurred to me as I note that we continue to talk about this story a week after its happened.;SHARON WAXMAN;OTHERS
1074;This administration basically thought the jobs issue was going to be solved by the stimulus, that that was a checkmark on their to-do list. And did -- I want to come back to the coverage here. Did the press buy into that? Did the press over promote that $787 billion bill? Oh, absolutely.;And did -- I want to come back to the coverage here. Did the press buy into that? Did the press over promote that $787 billion bill?;This administration basically thought the jobs issue was going to be solved by the stimulus, that that was a checkmark on their to-do list.;GERAGHTY;And did -- I want to come back to the coverage here.;HOWARD KURTZ;Did the press buy into that?;HOWARD KURTZ;Did the press over promote that $787 billion bill?;HOWARD KURTZ;Oh, absolutely.;GERAGHTY;ISQ
1075;Theres two of these magazines published by the same company. -In Touch- and -Life and Style- didnt exist five years ago, and now they have a combined circulation of more than two million. And besides, isnt it obvious to readers that Jen didnt have the baby and Tom and Katie didnt break up, and so forth? Why do we need -US- magazine to point it out? You know, I actually dont think its so obvious to the reader.;-In Touch- and -Life and Style- didnt exist five years ago, and now they have a combined circulation of more than two million. And besides, isnt it obvious to readers that Jen didnt have the baby and Tom and Katie didnt break up, and so forth? Why do we n;Theres two of these magazines published by the same company.;KURTZ, HOST (voice over);-In Touch- and -Life and Style- didnt exist five years ago, and now they have a combined circulation of more than two million.;KURTZ, HOST (voice over);And besides, isnt it obvious to readers that Jen didnt have the baby and Tom and Katie didnt break up, and so forth?;KURTZ, HOST (voice over);Why do we need -US- magazine to point it out?;KURTZ, HOST (voice over);You know, I actually dont think its so obvious to the reader.;JANICE MIN;Rhetorical
1076;He handed the reins to Oscar winner Brian Grazer. But publisher David Hiller wounded up -- wound up killing the special section, prompting Martinez to design. The reason? Martinez is dating a P.R. woman who works for Brian Grazer.;But publisher David Hiller wounded up -- wound up killing the special section, prompting Martinez to design. The reason? Martinez is dating a P.R.;He handed the reins to Oscar winner Brian Grazer.;KURTZ, HOST (voice over);But publisher David Hiller wounded up -- wound up killing the special section, prompting Martinez to design.;KURTZ, HOST (voice over);The reason?;KURTZ, HOST (voice over);Martinez is dating a P.R.;KURTZ, HOST (voice over);woman who works for Brian Grazer.;KURTZ, HOST (voice over);Rhetorical
1077;And none of the suspects -- a number of them seem to think he is a police officer, which I think you dont want to do as a reporter. Now, Brian, you work with law enforcement all the time, cooperate very closely. What is it about these online predator stings? Why is it that you have concluded from your piece that -Dateline- and Chris Hansen are working too closely with the cops? I think the issue becomes when -Dateline- and people hired by -Dateline- initiate the investigation knowing that that will then lead to the law enforcement moving in and making arrests and prosecutions.;Now, Brian, you work with law enforcement all the time, cooperate very closely. What is it about these online predator stings? Why is it that you have concluded from your piece that -Dateline- and Chris Hansen are working too closely with the cops?;And none of the suspects -- a number of them seem to think he is a police officer, which I think you dont want to do as a reporter.;BRIAN ROSS;Now, Brian, you work with law enforcement all the time, cooperate very closely.;HOWARD KURTZ;What is it about these online predator stings?;HOWARD KURTZ;Why is it that you have concluded from your piece that -Dateline- and Chris Hansen are working too closely with the cops?;HOWARD KURTZ;I think the issue becomes when -Dateline- and people hired by -Dateline- initiate the investigation knowing that that will then lead to the law enforcement moving in and making arrests and prosecutions.;BRIAN ROSS;Deliberative
1078;His campaign is going to be about her persona. Its going to be about his leadership style, because... So what he did was important? That -- what he did for his campaign was really important, because he didnt really want to talk about abortion. Right.;Its going to be about his leadership style, because... So what he did was important? That -- what he did for his campaign was really important, because he didnt really want to talk about abortion.;His campaign is going to be about her persona.;GLORIA BORGER;Its going to be about his leadership style, because...;GLORIA BORGER;So what he did was important?;KURTZ, HOST (voice over);That -- what he did for his campaign was really important, because he didnt really want to talk about abortion.;GLORIA BORGER;Right.;KURTZ, HOST (voice over);Deliberative
1079;And we have all of the sordid details to sift through on our own. Did you take the advice? And write about it? Absolutely. Its the story everyones talking about.;Did you take the advice? And write about it? Absolutely.;And we have all of the sordid details to sift through on our own.;AMY ARGETSINGER;Did you take the advice?;HOWARD KURTZ;And write about it?;ARGETSINGER;Absolutely.;HOWARD KURTZ;Its the story everyones talking about.;HOWARD KURTZ;ISQ
1080;Definitely a break from the more stayed Laura, sort of older, steady wife. But Diane Sawyer asking a question about the wife? What happened to this sisterhood? Fred Thompson is a serious candidate for president, and were focusing on his wife? Wait a minute, Diane Sawyer is hardly alone here.;But Diane Sawyer asking a question about the wife? What happened to this sisterhood? Fred Thompson is a serious candidate for president, and were focusing on his wife?;Definitely a break from the more stayed Laura, sort of older, steady wife.;AMY HOLMES;But Diane Sawyer asking a question about the wife?;AMY HOLMES;What happened to this sisterhood?;AMY HOLMES;Fred Thompson is a serious candidate for president, and were focusing on his wife?;AMY HOLMES;Wait a minute, Diane Sawyer is hardly alone here.;HOWARD KURTZ;Deliberative
1081;Ratings, ratings, ratings, ratings. Right? I mean, why dont we cover President Obamas presser, right? Why dont we talk about that? Well, kind of not that interesting.;Right? I mean, why dont we cover President Obamas presser, right? Why dont we talk about that?;Ratings, ratings, ratings, ratings.;LAUREN ASHBURN;Right?;LAUREN ASHBURN;I mean, why dont we cover President Obamas presser, right?;LAUREN ASHBURN;Why dont we talk about that?;LAUREN ASHBURN;Well, kind of not that interesting.;LAUREN ASHBURN;Rhetorical
1082;We saw some of that. Is it a little silly to say, well, Rudy won -- no, no, McCain won? In other words, reduce it to a kind of a box score approach? I think when there is no clear winner, yes. It is idiotic.;Is it a little silly to say, well, Rudy won -- no, no, McCain won? In other words, reduce it to a kind of a box score approach? I think when there is no clear winner, yes.;We saw some of that.;KURTZ, HOST (voice over);Is it a little silly to say, well, Rudy won -- no, no, McCain won?;KURTZ, HOST (voice over);In other words, reduce it to a kind of a box score approach?;KURTZ, HOST (voice over);I think when there is no clear winner, yes.;TAPPER;It is idiotic.;TAPPER;Deliberative
1083;And if you think back to the campaign, when there were these efforts to smear the president as being Muslim himself, I thought that was quite a risky move, and it was interesting that it didnt boomerang against him. Chrystia, what about the -- hold on now. What about the business about, did Obama appeared to bow to the Saudi king, and was that a terrible thing, that it also seemed to be -- factor into some of this criticism? Yes. No, definitely.;Chrystia, what about the -- hold on now. What about the business about, did Obama appeared to bow to the Saudi king, and was that a terrible thing, that it also seemed to be -- factor into some of this criticism? Yes.;And if you think back to the campaign, when there were these efforts to smear the president as being Muslim himself, I thought that was quite a risky move, and it was interesting that it didnt boomerang against him.;CHRYSTIA FREELAND;Chrystia, what about the -- hold on now.;HOWARD KURTZ;What about the business about, did Obama appeared to bow to the Saudi king, and was that a terrible thing, that it also seemed to be -- factor into some of this criticism?;HOWARD KURTZ;Yes.;CHRYSTIA FREELAND;No, definitely.;CHRYSTIA FREELAND;ISQ
1084;So, you could go another step further, maybe not into selling dresses or coffee, but books. If youre covering a story on Egypt and theres some good books on Egypt, do you send them to Amazon? Maybe a little bit of a conflict there, right? But there might be a way to do it and present a wealth of books in a wealth of different areas. So, speaking of pay walls, which you brought up --;If youre covering a story on Egypt and theres some good books on Egypt, do you send them to Amazon? Maybe a little bit of a conflict there, right? But there might be a way to do it and present a wealth of books in a wealth of different areas.;So, you could go another step further, maybe not into selling dresses or coffee, but books.;DAVE CALLAWAY;If youre covering a story on Egypt and theres some good books on Egypt, do you send them to Amazon?;DAVE CALLAWAY;Maybe a little bit of a conflict there, right?;DAVE CALLAWAY;But there might be a way to do it and present a wealth of books in a wealth of different areas.;DAVE CALLAWAY;So, speaking of pay walls, which you brought up --;JOANNE LIPMAN;Deliberative
1085;Rove got a more sympathetic hearing at the network where he is a commentator. Youre going to do a multi multi- city tour. How can people find out where youre going to be? Rove.com. Weve got a schedule there, Rove.com of where Im going to be and when Im going to be.;Youre going to do a multi multi- city tour. How can people find out where youre going to be? Rove.com.;Rove got a more sympathetic hearing at the network where he is a commentator.;HOWARD KURTZ;Youre going to do a multi multi- city tour.;SEAN HANNITY;How can people find out where youre going to be?;SEAN HANNITY;Rove.com.;KARL ROVE;Weve got a schedule there, Rove.com of where Im going to be and when Im going to be.;KARL ROVE;ISQ
1086;But Im sure this is going to be a nicely-rehearsed, scripted performance that hes going to give CBS this evening. But again, I dont think its going to change the opinions that a lot of people have. Its a very polarizing moment right now in sports, because for every person who is singing the praises that hes getting a second chance, there are probably two or three other people who are saying, you know what? I dont want to see him ever again. Im sure he will use some of the lines that he used at the televised press conference when the Eagles signed him on Friday.;But again, I dont think its going to change the opinions that a lot of people have. Its a very polarizing moment right now in sports, because for every person who is singing the praises that hes getting a second chance, there are probably two or three other people who are saying, you know what? I dont want to see him ever again.;But Im sure this is going to be a nicely-rehearsed, scripted performance that hes going to give CBS this evening.;DREW SHARP;But again, I dont think its going to change the opinions that a lot of people have.;DREW SHARP;Its a very polarizing moment right now in sports, because for every person who is singing the praises that hes getting a second chance, there are probably two or three other people who are saying, you know what?;DREW SHARP;I dont want to see him ever again.;DREW SHARP;Im sure he will use some of the lines that he used at the televised press conference when the Eagles signed him on Friday.;HOWARD KURTZ;Rhetorical
1087;Theyve said he pals around with terrorists, which well come back to. But, so you have to draw the line for us. Where would you draw the line -- pro-America areas, acceptable rhetoric or not? I think its stupid, but theres nothing illegal about saying something stupid on the campaign trail. I mean, and I think that when its sort of taken -- you know, its sort of been a bad week for them in terms of messaging and saying things like this.;But, so you have to draw the line for us. Where would you draw the line -- pro-America areas, acceptable rhetoric or not? I think its stupid, but theres nothing illegal about saying something stupid on the campaign trail.;Theyve said he pals around with terrorists, which well come back to.;KURTZ, HOST (voice-over);But, so you have to draw the line for us.;KURTZ, HOST (voice-over);Where would you draw the line -- pro-America areas, acceptable rhetoric or not?;KURTZ, HOST (voice-over);I think its stupid, but theres nothing illegal about saying something stupid on the campaign trail.;KELI GOFF;I mean, and I think that when its sort of taken -- you know, its sort of been a bad week for them in terms of messaging and saying things like this.;KELI GOFF;Deliberative
1088;Howard Dean, Ed Rendell, Al Sharpton.  Right.  So, is this of a different magnitude in your view because they were so recently in Obamas employee?  I think also because they are such loyalists to Obama and have such a long history with him.  I think it is a difference. ;Right.  So, is this of a different magnitude in your view because they were so recently in Obamas employee?  I think also because they are such loyalists to Obama and have such a long history with him. ;Howard Dean, Ed Rendell, Al Sharpton. ;HOWARD KURTZ,;Right. ;DAVID ZURAWIK,;So, is this of a different magnitude in your view because they were so recently in Obamas employee? ;HOWARD KURTZ,;I think also because they are such loyalists to Obama and have such a long history with him. ;DAVID ZURAWIK,;I think it is a difference. ;DAVID ZURAWIK,;Deliberative
1089;And everybody was very happy, very pleased and very proud of it. And I was talking to James Bennet, you know, who is editor, now co-president of -The Atlantic,- and I suggested, hey, should we -- can we just tweet the cover out, maybe get a little hype, not say anything else? And he said, no, you know what? We have been experimenting with doing these trailers for the entire issue. Movie trailer.;And I was talking to James Bennet, you know, who is editor, now co-president of -The Atlantic,- and I suggested, hey, should we -- can we just tweet the cover out, maybe get a little hype, not say anything else? And he said, no, you know what? We have been experimenting with doing these trailers for the entire issue.;And everybody was very happy, very pleased and very proud of it.;TA-NEHISI COATES;And I was talking to James Bennet, you know, who is editor, now co-president of -The Atlantic,- and I suggested, hey, should we -- can we just tweet the cover out, maybe get a little hype, not say anything else?;TA-NEHISI COATES;And he said, no, you know what?;TA-NEHISI COATES;We have been experimenting with doing these trailers for the entire issue.;TA-NEHISI COATES;Movie trailer.;BRIAN STELTER;Deliberative
1090;All ages of men, all saying, you know, Im struggling with this, too.  You didnt mention in your piece that there was photo that your husband of Bob Woodward.  Was that deliberate?  You, I didnt mention my daughters name either.  It was a piece about the journey of a woman. ;You didnt mention in your piece that there was photo that your husband of Bob Woodward.  Was that deliberate?  You, I didnt mention my daughters name either. ;All ages of men, all saying, you know, Im struggling with this, too. ;ELSA WALSH,;You didnt mention in your piece that there was photo that your husband of Bob Woodward. ;HOWARD KURTZ,;Was that deliberate? ;HOWARD KURTZ,;You, I didnt mention my daughters name either. ;ELSA WALSH,;It was a piece about the journey of a woman. ;ELSA WALSH,;Deliberative
1091;And thats -- yes, go ahead. Let me read you, Roger Simon, a quote from Jack Shafer, media columnist at slate.com who talked about the exploratory committee announcement this week and says, -What disappoints me is how wildly the big dailies fell for this pseudo event. I thought political reporters were supposed to be cynical animals.-      What about that, Roger? Well, if we didnt have pseudo -- if we didnt have pseudo events, we wouldnt have events at all. I mean, we go with what were given.;Let me read you, Roger Simon, a quote from Jack Shafer, media columnist at slate.com who talked about the exploratory committee announcement this week and says, -What disappoints me is how wildly the big dailies fell for this pseudo event. I thought political reporters were supposed to be cynical animals.-      What about that, Roger? Well, if we didnt have pseudo -- if we didnt have pseudo events, we wouldnt have events at all.;And thats -- yes, go ahead.;ROGER SIMON;Let me read you, Roger Simon, a quote from Jack Shafer, media columnist at slate.com who talked about the exploratory committee announcement this week and says, -What disappoints me is how wildly the big dailies fell for this pseudo event.;KURTZ, HOST (voice over);I thought political reporters were supposed to be cynical animals.-      What about that, Roger?;KURTZ, HOST (voice over);Well, if we didnt have pseudo -- if we didnt have pseudo events, we wouldnt have events at all.;ROGER SIMON;I mean, we go with what were given.;ROGER SIMON;Deliberative
1092;My career at NBC has been wonderful for me, but if Ive had one kind of ongoing dispute, its always been this.  Look, we dont want to turn this into PBS or -Nightline.-  But if you would acknowledge, and Ill do it for you, acknowledge the controversies, ask the tough questions, 10 percent of the time, it actually increases the credibility when the 90 percent of the time you want to say, isnt this exciting?  Isnt it great?  Isnt it a wonderful shared experience?  Because theres still a kid in me, I still buy into a good portion of that. ;Look, we dont want to turn this into PBS or -Nightline.-  But if you would acknowledge, and Ill do it for you, acknowledge the controversies, ask the tough questions, 10 percent of the time, it actually increases the credibility when the 90 percent of the time you want to say, isnt this exciting?  Isnt it great?  Isnt it a wonderful shared experience? ;My career at NBC has been wonderful for me, but if Ive had one kind of ongoing dispute, its always been this. ;BOB COSTAS,;Look, we dont want to turn this into PBS or -Nightline.-  But if you would acknowledge, and Ill do it for you, acknowledge the controversies, ask the tough questions, 10 percent of the time, it actually increases the credibility when the 90 percent of the time you want to say, isnt this exciting? ;BOB COSTAS,;Isnt it great? ;BOB COSTAS,;Isnt it a wonderful shared experience? ;BOB COSTAS,;Because theres still a kid in me, I still buy into a good portion of that. ;BOB COSTAS,;Deliberative
1093;Well, you tell me. I mean, they... Meet with them? They wanted to -- they wanted me to recruit advertisers to use contacts and connections found in the course of newsgathering, and turn that over to -- you know, to the advertising department to work more closely with... And your reaction to that request?;I mean, they... Meet with them? They wanted to -- they wanted me to recruit advertisers to use contacts and connections found in the course of newsgathering, and turn that over to -- you know, to the advertising department to work more closely with...;Well, you tell me.;MINITER;I mean, they...;MINITER;Meet with them?;HOWARD KURTZ;They wanted to -- they wanted me to recruit advertisers to use contacts and connections found in the course of newsgathering, and turn that over to -- you know, to the advertising department to work more closely with...;MINITER;And your reaction to that request?;HOWARD KURTZ;OTHERS
1094;You mentioned to me off-camera that you were nervous to write about this. Why is that? And what do you want viewers at home to know about how the media treats victims and families of victims? Well, I was nervous to write this op-ed, because its a difficult topic. And I dont think that people really understand it unless theyre in it.;Why is that? And what do you want viewers at home to know about how the media treats victims and families of victims? Well, I was nervous to write this op-ed, because its a difficult topic.;You mentioned to me off-camera that you were nervous to write about this.;BRIAN STELTER;Why is that?;BRIAN STELTER;And what do you want viewers at home to know about how the media treats victims and families of victims?;BRIAN STELTER;Well, I was nervous to write this op-ed, because its a difficult topic.;COSTELLO;And I dont think that people really understand it unless theyre in it.;BRIAN STELTER;Deliberative
1095;And I think we can at least take this opportunity to have a discussion. After all, I mean, the fact that hes picking somebody who hasnt been a judge, that gives him freedom to pick somebody who might be creative. Are we going to get that kind of creativity from the same machine thats produced the other eight justices? Bill Press, Ive been saving this question for you, because youre in the White House briefing room many times each week. There is one interview that Elena Kagan has granted since becoming a nominee for the Supreme Court.;After all, I mean, the fact that hes picking somebody who hasnt been a judge, that gives him freedom to pick somebody who might be creative. Are we going to get that kind of creativity from the same machine thats produced the other eight justices? Bill Press, Ive been saving this question for you, because youre in the White House briefing room many times each week.;And I think we can at least take this opportunity to have a discussion.;DEBRA SAUNDERS;After all, I mean, the fact that hes picking somebody who hasnt been a judge, that gives him freedom to pick somebody who might be creative.;DEBRA SAUNDERS;Are we going to get that kind of creativity from the same machine thats produced the other eight justices?;DEBRA SAUNDERS;Bill Press, Ive been saving this question for you, because youre in the White House briefing room many times each week.;KURTZ, HOST (voice-over);There is one interview that Elena Kagan has granted since becoming a nominee for the Supreme Court.;KURTZ, HOST (voice-over);Deliberative
1096;Thank you. Why have you mounted this frontal assault on your rivals? Shouldnt we conclude that your motives are perhaps less than pure here? Well, listen. I mean, obviously, its a competitive marketplace out there in the world of celebrity magazines.;Why have you mounted this frontal assault on your rivals? Shouldnt we conclude that your motives are perhaps less than pure here? Well, listen.;Thank you.;JANICE MIN;Why have you mounted this frontal assault on your rivals?;KURTZ, HOST (voice over);Shouldnt we conclude that your motives are perhaps less than pure here?;KURTZ, HOST (voice over);Well, listen.;JANICE MIN;I mean, obviously, its a competitive marketplace out there in the world of celebrity magazines.;JANICE MIN;Rhetorical
1097;So youre up against seven other pilots by smart people --  Right.  A little nervous about this bake off?  Well, they tried to discourage a competitive mindset with all of us.  They said, if you guys make eight great pilots, wed love to put eight great shows on the air. ;Right.  A little nervous about this bake off?  Well, they tried to discourage a competitive mindset with all of us. ;So youre up against seven other pilots by smart people -- ;HOWARD KURTZ,;Right. ;GARRY TRUDEAU,;A little nervous about this bake off? ;HOWARD KURTZ,;Well, they tried to discourage a competitive mindset with all of us. ;TRUDEAU,;They said, if you guys make eight great pilots, wed love to put eight great shows on the air. ;HOWARD KURTZ,;Deliberative
1098;I remember watching the -NEWSROOM- the other day. I saw this big breaking news headline. Have we got that? -Britney Spears in Rehab.-        (LAUGHTER)      Diane Dimond -- and then there was, you know, this -- her antics landed her on the front -- well see all the networks here -- landed her on the front cover of -The New York Daily News,- that photo of her w This was, Diane Dimond, big news, medium news, small news?;I saw this big breaking news headline. Have we got that? -Britney Spears in Rehab.-        (LAUGHTER)      Diane Dimond -- and then there was, you know, this -- her antics landed her on the front -- well see all the networks here -- landed her on the front cover of -The New York Daily News,- that photo of her w;I remember watching the -NEWSROOM- the other day.;KURTZ, HOST (voice over);I saw this big breaking news headline.;KURTZ, HOST (voice over);Have we got that?;KURTZ, HOST (voice over);-Britney Spears in Rehab.-        (LAUGHTER)      Diane Dimond -- and then there was, you know, this -- her antics landed her on the front -- well see all the networks here -- landed her on the front cover of -The New York Daily News,- that photo of her w;KURTZ, HOST (voice over);This was, Diane Dimond, big news, medium news, small news?;KURTZ, HOST (voice over);OTHERS
1099;I have a dog, and certainly those pictures are adorably cute, but front page, really, I mean, I think that this is just -- I mean, its something so trivial, that the White House probably really doesnt even need to manipulate. There are other things that they are very good at manipulating, I think the least of which should be a dog story. So just to be clear, if -The Washington Times- was offered the exclusive on the dog and the first pictures of Bo, it would have put the story on page A-9? I doubt that youd see it. Im not speaking for the entire paper, but I doubt that youd see something like that leading the front page, above-the-fold story, if you will.;There are other things that they are very good at manipulating, I think the least of which should be a dog story. So just to be clear, if -The Washington Times- was offered the exclusive on the dog and the first pictures of Bo, it would have put the story on page A-9? I doubt that youd see it.;I have a dog, and certainly those pictures are adorably cute, but front page, really, I mean, I think that this is just -- I mean, its something so trivial, that the White House probably really doesnt even need to manipulate.;TARA WALL;There are other things that they are very good at manipulating, I think the least of which should be a dog story.;TARA WALL;So just to be clear, if -The Washington Times- was offered the exclusive on the dog and the first pictures of Bo, it would have put the story on page A-9?;HOWARD KURTZ;I doubt that youd see it.;TARA WALL;Im not speaking for the entire paper, but I doubt that youd see something like that leading the front page, above-the-fold story, if you will.;TARA WALL;ISQ
